period,series,hurdle_monthly,n_months,mean_monthly,annual_arithmetic_return,annual_volatility,annual_sharpe,max_drawdown,hac_se_mean,hac_t_above_hurdle,bonferroni_adjusted_lower_bound_above_hurdle,rolling36_mean_above_hurdle_share,positive_calendar_year_share_above_hurdle,leave_one_year_out_positive_share_above_hurdle,reverse_sign_adjusted_lower_bound_above_hurdle,reverse_sign_pass,moving_block_boot_probability_mean_above_hurdle
replication,TSMOM,0.0,324,0.013405438629628437,0.16086526355554123,0.1198183363544517,1.3425763405666287,-0.16433135866330806,0.0017289054926068494,7.753713946165832,0.00938340301248496,1.0,0.9259259259259259,1.0,-0.017427474246771914,False,
replication,TSMOM,0.001,324,0.013405438629628437,0.16086526355554123,0.1198183363544517,1.3425763405666287,-0.16433135866330806,0.0017289054926068494,7.175313331281906,0.008383403012484959,0.9965397923875432,0.8888888888888888,1.0,-0.018427474246771915,False,1.0
replication,TSMOM,0.0025,324,0.013405438629628437,0.16086526355554123,0.1198183363544517,1.3425763405666287,-0.16433135866330806,0.0017289054926068494,6.307712408956015,0.006883403012484959,0.9930795847750865,0.8888888888888888,1.0,-0.019927474246771913,False,
replication,TSMOM^CM,0.0,324,0.010940011153991284,0.1312801338478954,0.1455429471736087,0.9020027173924127,-0.257975574545096,0.0020322745138986248,5.383136519782682,0.006212233659115836,0.9930795847750865,0.8888888888888888,1.0,-0.015667788648866733,False,
replication,TSMOM^CM,0.001,324,0.010940011153991284,0.1312801338478954,0.1455429471736087,0.9020027173924127,-0.257975574545096,0.0020322745138986248,4.891077010518037,0.005212233659115836,0.9826989619377162,0.8888888888888888,1.0,-0.016667788648866734,False,1.0
replication,TSMOM^CM,0.0025,324,0.010940011153991284,0.1312801338478954,0.1455429471736087,0.9020027173924127,-0.257975574545096,0.0020322745138986248,4.152987746621072,0.003712233659115836,0.9688581314878892,0.8148148148148148,1.0,-0.018167788648866732,False,
replication,TSMOM^EQ,0.0,324,0.017233857830538924,0.2068062939664671,0.2800513043244574,0.7384585994531513,-0.49839859753708726,0.005083015026842309,3.3904794181269633,0.00540899662912667,0.889273356401384,0.7407407407407407,1.0,-0.029058719031951178,False,
replication,TSMOM^EQ,0.001,324,0.017233857830538924,0.2068062939664671,0.2800513043244574,0.7384585994531513,-0.49839859753708726,0.005083015026842309,3.1937457876499304,0.00440899662912667,0.8823529411764706,0.7407407407407407,1.0,-0.03005871903195118,False,0.99955
replication,TSMOM^EQ,0.0025,324,0.017233857830538924,0.2068062939664671,0.2800513043244574,0.7384585994531513,-0.49839859753708726,0.005083015026842309,2.8986453419343814,0.00290899662912667,0.8200692041522492,0.7037037037037037,1.0,-0.03155871903195118,False,
replication,TSMOM^FI,0.0,324,0.018428598216101502,0.22114317859321803,0.29364119816504003,0.7531067846580752,-0.5488750624699494,0.0049605194121591385,3.7150541475414136,0.006888704427486769,0.8927335640138409,0.8148148148148148,1.0,-0.029968492004716234,False,
