claim_id,feature,family,causal_role,target,top_fraction,orientation,gross_directionally_positive,globally_adjusted_diagnostic_survivor,discovery_lift_mean,discovery_lift_lb,discovery_precision,discovery_base_rate,discovery_recall,discovery_median_lead_days,discovery_mean_terminal_return,discovery_mean_mfe,discovery_mean_mae,validation_lift_mean,validation_lift_lb,validation_precision,validation_base_rate,validation_recall,validation_median_lead_days,validation_mean_terminal_return,validation_mean_mfe,validation_mean_mae,diagnostic_lockbox_lift_mean,diagnostic_lockbox_lift_lb,diagnostic_lockbox_precision,diagnostic_lockbox_base_rate,diagnostic_lockbox_recall,diagnostic_lockbox_median_lead_days,diagnostic_lockbox_mean_terminal_return,diagnostic_lockbox_mean_mfe,diagnostic_lockbox_mean_mae
gap_abs_21:up_42d_50pct:top10,gap_abs_21,session,information_jump,up_42d_50pct,0.1,1,True,False,0.0008937544549024571,-0.0019663338082816957,0.0012859668863526765,0.0003918751224609758,0.3333333333333333,34.0,0.007464224222581372,0.08650710105220034,-0.08601047877620766,0.02216307913970345,-0.014060211024505071,0.025510204081632654,0.0033456804875134426,0.7738095238095238,31.0,0.08213550840836122,0.14400761052569044,-0.06617212764189685,0.0037279404515429358,-0.003751353179832834,0.00467687074829932,0.0009489302967563837,0.5,38.0,0.020308067437868664,0.08771424254349476,-0.06600649880191703
gap_abs_21:up_21d_30pct:top20,gap_abs_21,session,information_jump,up_21d_30pct,0.2,1,True,False,0.0020065500762622744,-0.000573183839468804,0.003329273244011368,0.0013219957239150658,0.5061728395061729,16.0,0.002183490915993349,0.05158479806904796,-0.05347812004509809,0.01603314694335969,-0.0024599637145795265,0.022006344171292627,0.005973477758751145,0.74,14.0,0.029489995342971646,0.07709063483121284,-0.04924066774701932,0.0036877245929790256,-0.0022551281000964102,0.005640925889904688,0.001953201296925661,0.58,16.0,0.013043485700459208,0.05602703335242748,-0.04025533492976232
clv_63:down_42d_30pct:top20,clv_63,signed_volume_proxy,close_pressure_proxy,down_42d_30pct,0.2,-1,True,False,0.008485945175591241,-0.00748989643397845,0.01716491458607096,0.008670237084449089,0.3935969868173258,28.0,0.012733666277626912,0.07442959613683699,-0.06738090060982603,0.0016238914920247232,-0.0011345794642854692,0.005408653846153846,0.0037838053132592505,0.28421052631578947,17.0,0.04785791878536403,0.10217178850122931,-0.05596258977899492,0.0036636257763975146,-0.0025945383733155633,0.006510416666666667,0.002846790890269151,0.45454545454545453,24.0,0.01450973667719248,0.07515662697344302,-0.06139957909512851
gap_abs_10:down_21d_20pct:top10,gap_abs_10,session,information_jump,down_21d_20pct,0.1,1,True,False,0.02884246087786229,-0.013992004533367824,0.03906124417296255,0.01021690522433125,0.38817891373801916,14.0,0.0005286237497526277,0.0523728440924975,-0.056326647231099945,0.01663576795016706,-0.027029890240129736,0.027864992150706435,0.011230138186452153,0.25177304964539005,11.0,0.03332816659077469,0.08548840715265205,-0.052397073987142974,0.0036162126868795083,-0.0006688211770421114,0.009241432422025414,0.005625219735145904,0.16666666666666666,16.0,0.01305853952277236,0.05581492908305582,-0.041107545926068294
intraday_5:up_21d_30pct:top10,intraday_5,session,regular_session_demand,up_21d_30pct,0.1,-1,True,False,0.0034355757006365477,-0.0007956041208726922,0.004764251683916544,0.0013219957239150658,0.35802469135802467,18.0,0.006250631369879213,0.05254677682847439,-0.0488207709324634,0.013658213028477325,-0.008178399052588716,0.019631410256410256,0.005973477758751145,0.32666666666666666,13.0,0.029124482197530287,0.07135514069744398,-0.044862894407462446,0.0035499433571623885,-0.002381971794852697,0.00550314465408805,0.001953201296925661,0.28,18.0,0.012149159284478317,0.054042033141801296,-0.03919781784478869
intraday_42:up_21d_30pct:top10,intraday_42,session,regular_session_demand,up_21d_30pct,0.1,-1,True,False,0.0034390659558440084,-0.0015112456793257606,0.004765034505422281,0.0013219957239150658,0.35802469135802467,17.0,0.005250574661154264,0.053789222638874666,-0.05225453631318947,0.01045308482334912,-0.009793700401473024,0.016426282051282052,0.005973477758751145,0.2733333333333333,13.0,0.026923027536624195,0.07350318901152444,-0.046860587529644476,0.0035499433571623885,-0.00474297962899606,0.00550314465408805,0.001953201296925661,0.28,16.5,0.005445090001153531,0.05445954368763866,-0.04696095216975985
mom5_x_volumez63:up_21d_30pct:top10,mom5_x_volumez63,interaction,price_volume_confirmation,up_21d_30pct,0.1,-1,True,False,0.0022872817373819545,-0.0015637004191399353,0.0036112934996717005,0.0013219957239150658,0.2716049382716049,16.0,0.0054859715078523314,0.048105039606858885,-0.04563611267100864,0.006446674566938864,-0.006431721613875468,0.012419871794871794,0.005973477758751145,0.20666666666666667,13.0,0.022791430187650907,0.06512743624567312,-0.04488822125711522,0.0035499433571623885,-0.004032767766838764,0.00550314465408805,0.001953201296925661,0.28,15.5,0.0116526605145165,0.0502575591194822,-0.03625871718863434
clv_volume_10:up_21d_30pct:top5,clv_volume_10,signed_volume_proxy,accumulation_distribution_proxy,up_21d_30pct,0.05,-1,True,False,0.0013030297688780175,-0.0023944045676931084,0.002628120893561104,0.0013219957239150658,0.09876543209876543,18.5,0.006969042784255817,0.04798848329498042,-0.04316209538321934,0.005244751490015787,-0.008497969652646256,0.011217948717948718,0.005973477758751145,0.09333333333333334,13.0,0.023759587969410443,0.062138964595813105,-0.04029607179600621,0.003549943357162388,-0.004670468680768992,0.00550314465408805,0.001953201296925661,0.14,17.0,0.009329240889017213,0.04666249797432114,-0.036380251217823845
mfv_10:up_21d_30pct:top5,mfv_10,signed_volume_proxy,chaikin_proxy,up_21d_30pct,0.05,-1,True,False,0.0013030297688780175,-0.0023944045676931084,0.002628120893561104,0.0013219957239150658,0.09876543209876543,18.5,0.006969042784255817,0.04798848329498042,-0.04316209538321934,0.005244751490015787,-0.008497969652646256,0.011217948717948718,0.005973477758751145,0.09333333333333334,13.0,0.023759587969410443,0.062138964595813105,-0.04029607179600621,0.003549943357162388,-0.004670468680768992,0.00550314465408805,0.001953201296925661,0.14,17.0,0.009329240889017213,0.04666249797432114,-0.036380251217823845
residual_mom_126:up_21d_30pct:top20,residual_mom_126,market_relative,idiosyncratic_direction,up_21d_30pct,0.2,-1,True,False,0.001993823413856691,-0.0017143134393524315,0.003314550878355983,0.0013219957239150658,0.49382716049382713,15.5,0.0020163004299394,0.04881944088437937,-0.04983621436619375,0.008650200207964505,-0.006568610938803744,0.014623397435897436,0.005973477758751145,0.4866666666666667,13.0,0.02893875615480214,0.07544521584465196,-0.04636572151057768,0.003549943357162388,-0.003301798522663494,0.00550314465408805,0.001953201296925661,0.56,17.0,0.010220756424023477,0.05541242746345427,-0.042986235160506044
