candidate_id,f1,s1,f2,s2,kind,family1,family2
U::vol_ratio_40_126::+1,vol_ratio_40_126,1,,,univariate,volatility_compression,
U::vol_ratio_40_126::-1,vol_ratio_40_126,-1,,,univariate,volatility_compression,
U::vol_ratio_5_20::+1,vol_ratio_5_20,1,,,univariate,volatility_compression,
U::vol_ratio_5_20::-1,vol_ratio_5_20,-1,,,univariate,volatility_compression,
U::volume_ratio_10_40::+1,volume_ratio_10_40,1,,,univariate,attention_acceleration,
U::volume_ratio_10_40::-1,volume_ratio_10_40,-1,,,univariate,attention_acceleration,
U::volume_ratio_20_63::+1,volume_ratio_20_63,1,,,univariate,attention_acceleration,
U::volume_ratio_20_63::-1,volume_ratio_20_63,-1,,,univariate,attention_acceleration,
U::volume_ratio_40_126::+1,volume_ratio_40_126,1,,,univariate,attention_acceleration,
U::volume_ratio_40_126::-1,volume_ratio_40_126,-1,,,univariate,attention_acceleration,
U::volume_ratio_5_20::+1,volume_ratio_5_20,1,,,univariate,attention_acceleration,
U::volume_ratio_5_20::-1,volume_ratio_5_20,-1,,,univariate,attention_acceleration,
U::volume_z_10::+1,volume_z_10,1,,,univariate,attention_volume,
U::volume_z_10::-1,volume_z_10,-1,,,univariate,attention_volume,
U::volume_z_126::+1,volume_z_126,1,,,univariate,attention_volume,
U::volume_z_126::-1,volume_z_126,-1,,,univariate,attention_volume,
U::volume_z_20::+1,volume_z_20,1,,,univariate,attention_volume,
U::volume_z_20::-1,volume_z_20,-1,,,univariate,attention_volume,
U::volume_z_40::+1,volume_z_40,1,,,univariate,attention_volume,
U::volume_z_40::-1,volume_z_40,-1,,,univariate,attention_volume,
U::volume_z_5::+1,volume_z_5,1,,,univariate,attention_volume,
U::volume_z_5::-1,volume_z_5,-1,,,univariate,attention_volume,
U::volume_z_63::+1,volume_z_63,1,,,univariate,attention_volume,
U::volume_z_63::-1,volume_z_63,-1,,,univariate,attention_volume,
P::accel_10_40::+1::accel_20_63::+1,accel_10_40,1,accel_20_63,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_20_63::-1,accel_10_40,1,accel_20_63,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_20_63::+1,accel_10_40,-1,accel_20_63,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_20_63::-1,accel_10_40,-1,accel_20_63,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_40_126::+1,accel_10_40,1,accel_40_126,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_40_126::-1,accel_10_40,1,accel_40_126,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_40_126::+1,accel_10_40,-1,accel_40_126,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_40_126::-1,accel_10_40,-1,accel_40_126,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_5_20::+1,accel_10_40,1,accel_5_20,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_5_20::-1,accel_10_40,1,accel_5_20,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_5_20::+1,accel_10_40,-1,accel_5_20,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_5_20::-1,accel_10_40,-1,accel_5_20,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_63_126::+1,accel_10_40,1,accel_63_126,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_63_126::-1,accel_10_40,1,accel_63_126,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_63_126::+1,accel_10_40,-1,accel_63_126,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_63_126::-1,accel_10_40,-1,accel_63_126,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_63_252::+1,accel_10_40,1,accel_63_252,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::accel_63_252::-1,accel_10_40,1,accel_63_252,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_63_252::+1,accel_10_40,-1,accel_63_252,1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::-1::accel_63_252::-1,accel_10_40,-1,accel_63_252,-1.0,pair_additive_rank,trend_acceleration,trend_acceleration
P::accel_10_40::+1::adl_flow_10::+1,accel_10_40,1,adl_flow_10,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_10::-1,accel_10_40,1,adl_flow_10,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_10::+1,accel_10_40,-1,adl_flow_10,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_10::-1,accel_10_40,-1,adl_flow_10,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_126::+1,accel_10_40,1,adl_flow_126,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_126::-1,accel_10_40,1,adl_flow_126,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_126::+1,accel_10_40,-1,adl_flow_126,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_126::-1,accel_10_40,-1,adl_flow_126,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_20::+1,accel_10_40,1,adl_flow_20,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_20::-1,accel_10_40,1,adl_flow_20,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_20::+1,accel_10_40,-1,adl_flow_20,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_20::-1,accel_10_40,-1,adl_flow_20,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_40::+1,accel_10_40,1,adl_flow_40,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_40::-1,accel_10_40,1,adl_flow_40,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_40::+1,accel_10_40,-1,adl_flow_40,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_40::-1,accel_10_40,-1,adl_flow_40,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_5::+1,accel_10_40,1,adl_flow_5,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
