claim_id,target,candidate_id,promoted,validation_diff_mean,validation_simultaneous_lb,lockbox_diff_mean,lockbox_simultaneous_lb,live_decision_weight,capital_permission
DRAWDOWN_63_20|A:ret_126:-1&ret_63:-1,DRAWDOWN_63_20,A:ret_126:-1&ret_63:-1,False,0.03527777777777779,-0.08111111111111113,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:mom_252_21:-1&relret_63:-1,DRAWDOWN_63_20,A:mom_252_21:-1&relret_63:-1,False,0.03527777777777778,-0.08111111111111113,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:mom_252_21:-1&ret_63:-1,DRAWDOWN_63_20,A:mom_252_21:-1&ret_63:-1,False,0.035138888888888886,-0.08125000000000003,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&ret_63:-1,DRAWDOWN_63_20,A:accel_21_63:+1&ret_63:-1,False,0.018333333333333333,-0.09805555555555559,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&mom_252_21:-1,DRAWDOWN_63_20,A:atr_63:+1&mom_252_21:-1,False,0.06902777777777779,-0.04736111111111113,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
DRAWDOWN_63_20|A:vol_21:+1&vol_63:+1,DRAWDOWN_63_20,A:vol_21:+1&vol_63:+1,False,0.05208333333333334,-0.06430555555555557,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_126:-1&range_loc_63:-1,DRAWDOWN_63_20,A:dist_high_126:-1&range_loc_63:-1,False,0.041944444444444444,-0.07444444444444448,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
DRAWDOWN_63_20|A:relret_63:-1&ret_42:-1,DRAWDOWN_63_20,A:relret_63:-1&ret_42:-1,False,0.02805555555555556,-0.08833333333333336,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&ret_252:-1,DRAWDOWN_63_20,A:accel_21_63:+1&ret_252:-1,False,0.025138888888888888,-0.09125000000000003,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&ret_21:-1,DRAWDOWN_63_20,A:accel_21_63:+1&ret_21:-1,False,0.011111111111111108,-0.1052777777777778,0.08285714285714285,-0.04007142857142883,0.0,BLOCKED
