metric,horizon_m,n,n_oos,base_rate,oos_ic,block_perm_p,n_nonoverlap,nonoverlap_ic,nonoverlap_p,raw_auc,raw_pr_auc,logit_brier,logit_auc,logit_pr_auc,era_ic_pre1946,era_ic_postwar,era_ic_modern,fdr_q_nonoverlap,status
dividend_decel_6m,12,1803,722,0.09556786703601108,-0.10622645155503832,0.26788685524126454,61,-0.09545214172395557,0.464317852798034,0.47668508777770374,0.09271397126989066,0.09180253974077346,0.5233149122222962,0.10766034006051409,-0.12014618939985978,-0.04618209027818847,-0.11571470880375094,0.9241839795692837,CONTEXT_ONLY
vix_avg,12,393,158,0.0189873417721519,0.03633841739432121,0.8435940099833611,14,0.178021978021978,0.5425969526062154,0.6344086021505376,0.032661358274351196,0.037091531048619814,0.6344086021505376,0.032661358274351196,,,0.3037843070903637,0.9241839795692837,CONTEXT_ONLY
vix_max,12,393,158,0.0189873417721519,0.054359673994033186,0.7504159733777038,14,0.1912087912087912,0.5125839704707786,0.7311827956989247,0.04534865355760878,0.04058044875844175,0.7311827956989247,0.04534865355760878,,,0.31673872036373274,0.9241839795692837,CONTEXT_ONLY
vix_expanding_pct,12,358,144,0.020833333333333332,0.0640412973580597,0.7171381031613977,12,0.1398601398601399,0.6646331617926677,0.6997635933806148,0.043220668220668224,0.03601208500186822,0.6997635933806148,0.043220668220668224,,,0.31126510858477047,0.9383252678331381,CONTEXT_ONLY
vix_chg_3m,12,390,156,0.019230769230769232,0.007960258901418842,0.9367720465890182,13,-0.26373626373626374,0.38393651665067413,0.6601307189542484,0.035546436588103254,0.03814896483562302,0.6601307189542484,0.035546436588103254,,,0.04640726248681683,0.9241839795692837,CONTEXT_ONLY
negative_control_noise,12,1821,729,0.09876543209876543,-0.032679646874575155,0.34608985024958405,61,-0.022739291380222102,0.8619064603694583,0.5400177574835109,0.12101723168473028,0.09435513064138505,0.45998224251648906,0.09730102434791288,-0.05472334788073612,0.010189485539673873,-0.05206066969581668,0.9383252678331381,CONTEXT_ONLY
negative_control_sine,12,1821,729,0.09876543209876543,0.004557169069355158,0.7304492512479202,61,-0.09619249074563721,0.4608441792811732,0.5102105530187722,0.10351448355143876,0.09365101466349918,0.5102105530187722,0.10351448355143876,0.012898309377486004,-0.003560068733267744,0.002259157331141424,0.9241839795692837,CONTEXT_ONLY
cape_level,24,1689,676,0.21893491124260356,0.14209823074836309,0.34442595673876875,29,0.1990147783251231,0.3006763893462304,0.6453598484848484,0.4577665892556464,0.23103177977324596,0.6453598484848484,0.4577665892556464,0.43023202453594495,0.27683292301109796,0.5508133223250713,0.8314494130235822,CONTEXT_ONLY
cape_expanding_pct,24,1630,652,0.22699386503067484,0.0928589580948134,0.5457570715474209,28,0.14778325123152708,0.4529668967572381,0.6324806949806949,0.32029914391560127,0.19199449136713068,0.6324806949806949,0.32029914391560127,0.3916948474511763,0.24620287802283994,0.4029314982326326,0.8314494130235822,CONTEXT_ONLY
rate10_level,24,1809,724,0.21823204419889503,0.012410796092973925,0.9351081530782029,31,0.017945357486096894,0.9236658385934967,0.4810965245784318,0.19263608165384866,0.18671603952065455,0.5189034754215682,0.22490149958469624,-0.13303631588221235,0.07853860451558024,-0.12524329635418815,0.9776728208886185,CONTEXT_ONLY
rate10_chg_6m,24,1803,722,0.21606648199445982,0.10198831881240986,0.16638935108153077,31,0.20120967741935486,0.27774495131732646,0.5479410165805925,0.2325220734122353,0.19365657812292617,0.4521212738968922,0.20019780775691898,0.18218749624868075,0.08192990087116632,0.055582078911451685,0.8314494130235822,CONTEXT_ONLY
rate10_chg_12m,24,1797,719,0.21279554937413073,0.07457573344675295,0.46755407653910147,30,-0.013125695216907676,0.9451166719944469,0.5033545809372041,0.20901013069458854,0.21779953946027014,0.4966280976465969,0.23156362474920106,0.12370777690189207,0.05714888783504866,0.03389903497015647,0.9776728208886185,CONTEXT_ONLY
