experiment_id,kind,spec,horizon_m,target,data_origin,dataset_hash,oos_method,oos_ic,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q,status
EXP_U_0038,UNIVARIATE,vix_chg_3m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0079602589014188,-0.2637362637362637,0.3839365166506741,0.9367720465890182,0.9241839795692836,CONTEXT_ONLY
EXP_U_0039,UNIVARIATE,negative_control_noise,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0326796468745751,-0.0227392913802221,0.8619064603694583,0.346089850249584,0.938325267833138,CONTEXT_ONLY
EXP_U_0040,UNIVARIATE,negative_control_sine,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0045571690693551,-0.0961924907456372,0.4608441792811732,0.7304492512479202,0.9241839795692836,CONTEXT_ONLY
EXP_U_0041,UNIVARIATE,cape_level,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.142098230748363,0.1990147783251231,0.3006763893462304,0.3444259567387687,0.8314494130235822,CONTEXT_ONLY
EXP_U_0042,UNIVARIATE,cape_expanding_pct,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0928589580948134,0.147783251231527,0.4529668967572381,0.5457570715474209,0.8314494130235822,CONTEXT_ONLY
EXP_U_0043,UNIVARIATE,rate10_level,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0124107960929739,0.0179453574860968,0.9236658385934968,0.9351081530782028,0.9776728208886184,CONTEXT_ONLY
EXP_U_0044,UNIVARIATE,rate10_chg_6m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1019883188124098,0.2012096774193548,0.2777449513173264,0.1663893510815307,0.8314494130235822,CONTEXT_ONLY
EXP_U_0045,UNIVARIATE,rate10_chg_12m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0745757334467529,-0.0131256952169076,0.9451166719944468,0.4675540765391014,0.9776728208886184,CONTEXT_ONLY
EXP_U_0046,UNIVARIATE,inflation_yoy,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1420191047429889,0.135928809788654,0.4738605007204884,0.3211314475873544,0.8314494130235822,CONTEXT_ONLY
EXP_U_0047,UNIVARIATE,inflation_accel_6m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1501979579468629,0.253837597330367,0.1758830229537755,0.0931780366056572,0.8314494130235822,CONTEXT_ONLY
EXP_U_0048,UNIVARIATE,inflation_abs,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1414967066207924,0.135928809788654,0.4738605007204884,0.3277870216306156,0.8314494130235822,CONTEXT_ONLY
EXP_U_0049,UNIVARIATE,real_rate_proxy,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.1453588533640099,-0.1626251390433815,0.3905487880141028,0.2895174708818636,0.8314494130235822,CONTEXT_ONLY
EXP_U_0050,UNIVARIATE,earnings_yoy_negative,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0696135660715856,0.2137931034482758,0.2566214549399979,0.5773710482529119,0.8314494130235822,CONTEXT_ONLY
EXP_U_0051,UNIVARIATE,earnings_decel_6m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0202399215297697,0.0327030033370411,0.863786459147252,0.8202995008319468,0.9776728208886184,CONTEXT_ONLY
EXP_U_0052,UNIVARIATE,earnings_decel_12m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0301838505349319,0.0531701890989988,0.7802081176079786,0.7254575707154742,0.9776728208886184,CONTEXT_ONLY
EXP_U_0053,UNIVARIATE,dividend_yoy_negative,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1579621858653674,0.1354838709677419,0.4753226725916998,0.2246256239600665,0.8314494130235822,CONTEXT_ONLY
EXP_U_0054,UNIVARIATE,dividend_decel_6m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.000998244090333,-0.0184649610678531,0.9228476207693762,1.0,0.9776728208886184,CONTEXT_ONLY
EXP_U_0055,UNIVARIATE,vix_avg,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0886126102288472,,,0.7487520798668885,,CONTEXT_ONLY
EXP_U_0056,UNIVARIATE,vix_max,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0932923888991448,,,0.6905158069883528,,CONTEXT_ONLY
EXP_U_0057,UNIVARIATE,vix_expanding_pct,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1713869260958078,,,0.5790349417637272,,CONTEXT_ONLY
EXP_U_0058,UNIVARIATE,vix_chg_3m,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0669929114556904,,,0.6139767054908486,,CONTEXT_ONLY
EXP_U_0059,UNIVARIATE,negative_control_noise,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0368019292005551,-0.0052419354838709,0.9776728208886184,0.3311148086522462,0.9776728208886184,CONTEXT_ONLY
EXP_U_0060,UNIVARIATE,negative_control_sine,24,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0004940168275271,0.1201612903225806,0.5196558831397389,0.9550748752079868,0.8314494130235822,CONTEXT_ONLY
EXP_C_0001,MECHANISM_COMBO,inflation_pressure_eq,6,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.3077523133260154,0.2998887069268631,0.0009214425543543,0.0012484394506866,0.0064500978804806,HISTORICALLY_SUPPORTED_US_ONLY
