claim_id,feature,family,target,orientation,diagnostic_survivor,discovery_n,discovery_beta,discovery_hac_t,discovery_bonferroni_lb,discovery_spearman,validation_n,validation_beta,validation_hac_t,validation_bonferroni_lb,validation_spearman,diagnostic_holdout_n,diagnostic_holdout_beta,diagnostic_holdout_hac_t,diagnostic_holdout_bonferroni_lb,diagnostic_holdout_spearman
spx_drawdown_12:future_6m_realized_vol,spx_drawdown_12,fragility,future_6m_realized_vol,-1,False,264,0.4009745640903814,3.475924513089737,-0.017018375975493494,0.40097456409038196,156,0.4423182066287087,3.6469729263915567,0.0028527582270556073,0.44231820662870885,183,0.2937032533066366,1.9362631166550757,-0.25592220820535927,0.2937032533066368
gold_mom_36:future_6m_realized_vol,gold_mom_36,cross_asset,future_6m_realized_vol,1,False,264,0.3705535760608897,2.991508397335842,-0.07827783339535072,0.3705535760608897,156,-0.3982646077982013,-2.5763988891243903,-0.9583845944320998,-0.3982646077982014,183,0.29181776883131133,1.8873132557387493,-0.26844298503989167,0.2918177688313116
spx_mom_24:future_6m_return,spx_mom_24,trend,future_6m_return,-1,False,264,0.19127141494293814,1.4876208657154326,-0.2746152375989011,0.1912714149429384,156,-0.2772486605237787,-1.5942722921041819,-0.907377587881166,-0.27724866052377845,183,0.29104430850688856,1.9385499724532158,-0.2529627928956054,0.2910443085068888
cape_level:future_12m_return,cape_level,valuation,future_12m_return,-1,False,264,0.2506133901038624,1.8257443642150735,-0.24676482734526178,0.25061339010386235,156,0.40816558771813033,2.3844548441254556,-0.21208865448045872,0.4081655877181303,177,0.28936714463737534,1.9162215490859902,-0.2578074917776495,0.2893671446373754
spx_mom_36:future_12m_return,spx_mom_36,trend,future_12m_return,-1,False,264,0.12579355503525108,0.7480571710033781,-0.4835273230019949,0.12579355503525114,156,-0.22477280270582106,-1.1253078540188222,-0.9485332900813013,-0.22477280270582092,177,0.28833252540641613,1.847935002781275,-0.27703310443494694,0.2883325254064162
fourier_10y_placebo:future_6m_realized_vol,fourier_10y_placebo,interaction_or_placebo,future_6m_realized_vol,-1,False,264,0.1184890224296899,0.7049014575572938,-0.4905879310177,0.11848902242968977,156,0.2636784624867633,1.619119197643817,-0.32641159115953944,0.263678462486763,183,0.2845698995529442,1.7756764355581927,-0.2961244339503494,0.28456989955294465
real_rate_change_12:future_6m_drawdown_loss,real_rate_change_12,macro,future_6m_drawdown_loss,-1,False,264,0.06912062771351767,0.44408906494109396,-0.4948546321040844,0.06912062771351778,156,-0.014239408256208537,-0.08203885636434752,-0.6431585355560417,-0.014239408256208614,183,0.2777420959226047,2.1540875808774076,-0.18945572719984627,0.27774209592260524
commodity_dxy_divergence:future_6m_return,commodity_dxy_divergence,interaction_or_placebo,future_6m_return,-1,False,264,0.06915750920528968,0.4668386605725677,-0.46762083681596484,0.06915750920528976,156,0.19226501872895962,1.0942374727646071,-0.4444002371228857,0.19226501872895965,183,0.276699067148105,1.584181348071393,-0.3561865968509047,0.27669906714810505
cpi_yoy_change_6:future_6m_drawdown_loss,cpi_yoy_change_6,macro,future_6m_drawdown_loss,1,False,264,0.2630174621751925,2.040208054322694,-0.20410697132223998,0.26301746217519234,156,0.04595534299170602,0.3622959446696773,-0.41366050793962,0.045955342991705984,183,0.2660517256280377,2.3529546773721846,-0.1436567772519366,0.266051725628038
spx_vol_60:future_6m_return,spx_vol_60,volatility,future_6m_return,1,False,264,0.15519180246264813,1.1893979452576504,-0.31759359268177906,0.15519180246264822,156,-0.3446918809565205,-1.7939639259378755,-1.0409011597764661,-0.34469188095652,183,0.2654104626663429,2.2112173939326634,-0.16950921351539727,0.265410462666343
