claim_id,family,tier,available_start,available_end,validation_n,validation_mean_monthly,validation_annualized_sharpe,validation_hac_t,validation_bonferroni_lower_bound,validation_leave_one_year_out_min_mean,validation_max_drawdown,validation_lb_after_25bps,lockbox_n,lockbox_mean_monthly,lockbox_annualized_sharpe,lockbox_hac_t,lockbox_bonferroni_lower_bound,lockbox_leave_one_year_out_min_mean,lockbox_max_drawdown,lockbox_lb_after_25bps
BAB:Global,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1987-02-28,2026-04-30,81,0.01002872362678773,2.86299351645034,7.584905525855604,0.006041417072594606,0.009153985535298304,-0.01635657374547883,0.0035414170725946072,88,0.0029644254389459457,0.4618461580337091,1.488418458459069,-0.003041772263270835,0.0013583176722006252,-0.11721663899967849,-0.005541772263270836
BAB:Global Ex USA,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1987-02-28,2026-04-30,81,0.011117411587987878,2.341435702030151,5.413092103996658,0.004923822241543526,0.009179637101698009,-0.033953703674702074,0.0024238222415435256,88,0.0050325343700456234,0.8889216275358319,2.1019262155575964,-0.0021877353618389916,0.003252684844305138,-0.08932816650403053,-0.004687735361838993
BAB:Europe,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1989-02-28,2026-04-30,81,0.008803025716168719,1.4914909431602437,3.7167281863240604,0.001660442505119839,0.006933185690909694,-0.08146052154273686,-0.0008395574948801615,88,0.005899651558612127,0.7758572235661443,1.9281654779365505,-0.0033274690786260627,0.0034827590329968424,-0.15473829293537278,-0.005827469078626064
BAB:North America,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1987-02-28,2026-04-30,81,0.009944212411429995,2.150325759527359,6.9926623780990305,0.0056556476605603345,0.008989684114158823,-0.040863460384452766,0.0031556476605603323,88,0.002555411685581884,0.30878963581500074,1.0590070721373357,-0.0047214841002376755,0.0011498218578771115,-0.14378937855983975,-0.007221484100237675
BAB:Pacific,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1988-12-31,2026-04-30,81,0.011905082239962896,2.029727351779423,5.353450420697574,0.005198785685327858,0.010776480827280645,-0.04796949850555099,0.0026987856853278556,88,0.0013802278299172117,0.2552770324443672,0.6509331031209414,-0.005014153929964131,-0.0003924399319044158,-0.12951830526348074,-0.007514153929964133
QMJ:USA,quality_minus_junk,FAILED_OR_UNIDENTIFIABLE,1957-07-31,2026-04-30,72,0.00563600429505098,0.9906257391655371,2.2506347148011545,-0.0019157950377908552,0.004669210610925275,-0.08825282737768325,-0.004415795037790856,88,-0.0006391928848766218,-0.0690318630178128,-0.18190637249016742,-0.011235832338157366,-0.0035706881646286916,-0.30649649887551544,-0.013735832338157367
QMJ:Global,quality_minus_junk,DIRECTIONALLY_PERSISTENT_ONLY,1989-07-31,2026-04-30,72,0.005700953879277552,1.3120695836671301,3.0057568979970317,-1.8806227663240374e-05,0.005008195199243268,-0.05339010669397026,-0.0025188062276632413,88,0.00067520863439644,0.09868215878058718,0.2605190995488196,-0.007140755505461468,-0.0011737389636855143,-0.21683970479881498,-0.009640755505461469
QMJ:Global Ex USA,quality_minus_junk,DIRECTIONALLY_PERSISTENT_ONLY,1989-07-31,2026-04-30,72,0.005653729440932427,1.3791539375738635,3.5741072004180108,0.0008833647002709586,0.005013654815541071,-0.04062144018900382,-0.0016166352997290423,88,0.002462019627053172,0.4834634822136481,1.3257617030776525,-0.00313826603826609,0.001872091034286312,-0.11463198625935922,-0.005638266038266091
QMJ:Europe,quality_minus_junk,DIRECTIONALLY_PERSISTENT_ONLY,1993-07-31,2026-04-30,72,0.006208981576559563,1.24041244262096,2.8532903367137514,-0.0003533556601743454,0.00529473834121968,-0.059362918166422696,-0.002853355660174345,88,0.0033693676600974488,0.5214864115011362,1.6319233428649171,-0.0028569717005146513,0.0025738945412483293,-0.13280907358909233,-0.005356971700514651
QMJ:North America,quality_minus_junk,FAILED_OR_UNIDENTIFIABLE,1989-07-31,2026-04-30,72,0.00578013652581711,1.00855171506613,2.366630463902019,-0.001585186270381238,0.004914869552729875,-0.09468717952336647,-0.004085186270381238,88,-0.0005120715576056209,-0.05652377522335429,-0.14863133998373027,-0.010901804873760036,-0.0033661952103241515,-0.2985754434117246,-0.013401804873760036
QMJ:Pacific,quality_minus_junk,DIRECTIONALLY_PERSISTENT_ONLY,1993-07-31,2026-04-30,72,0.004589309714120731,0.9532546408974223,2.9553292086591143,-9.370627548388466e-05,0.004135571140742361,-0.07011872662938812,-0.0025937062754838847,88,0.0014675195064945635,0.30394832544271283,0.7882214620615715,-0.004147092707172881,0.00042958727534556096,-0.1416475052472338,-0.006647092707172882
