claim_id,feature,family,horizon,orientation,diagnostic_survivor,discovery_ic_n,discovery_ic_mean,discovery_ic_hac_t,discovery_ic_bonferroni_lb,discovery_spread_n,discovery_spread_mean,discovery_spread_hac_t,discovery_spread_bonferroni_lb,validation_ic_n,validation_ic_mean,validation_ic_hac_t,validation_ic_bonferroni_lb,validation_spread_n,validation_spread_mean,validation_spread_hac_t,validation_spread_bonferroni_lb,diagnostic_holdout_ic_n,diagnostic_holdout_ic_mean,diagnostic_holdout_ic_hac_t,diagnostic_holdout_ic_bonferroni_lb,diagnostic_holdout_spread_n,diagnostic_holdout_spread_mean,diagnostic_holdout_spread_hac_t,diagnostic_holdout_spread_bonferroni_lb
mom63_x_volumez21:future_63d_return,mom63_x_volumez21,interaction,63,-1,False,24,0.013562477735739068,0.5485620222664402,-0.07249466680086905,24,0.002824985371949761,0.4017204835519102,-0.02165244689303444,12,0.029558388298663096,0.9823297348073721,-0.07517787868698375,12,0.006253425704390146,0.8273369088699598,-0.020055870226079065,10,-0.02132420868581366,-1.4654125442060604,-0.07197504844027705,10,-0.007774290402776439,-1.656159231077587,-0.024113547281539624
mom_10:future_21d_return,mom_10,momentum,21,-1,False,24,0.008077134836162124,0.4076519214713437,-0.06088988660768452,24,-0.001533273525203949,-0.4423924935747978,-0.013597112130019327,12,0.10915519552684312,2.5378433774970097,-0.040555637405822034,12,0.016044268192689063,1.7613422630169495,-0.015662340135151737,12,-0.022011539646795142,-0.6978088520876137,-0.13180780744404538,12,-0.00590846566214998,-1.261430668639932,-0.022212120079845785
reversal_10:future_21d_return,reversal_10,reversal,21,1,False,24,0.008077134836162124,0.4076519214713437,-0.06088988660768452,24,-0.001533273525203949,-0.4423924935747978,-0.013597112130019327,12,0.10915519552684312,2.5378433774970097,-0.040555637405822034,12,0.016044268192689063,1.7613422630169495,-0.015662340135151737,12,-0.022011539646795142,-0.6978088520876137,-0.13180780744404538,12,-0.00590846566214998,-1.261430668639932,-0.022212120079845785
volume_ratio_5_21:future_21d_return,volume_ratio_5_21,volume,21,1,False,24,0.006931817110111666,0.5597703132444414,-0.0361715169340462,24,0.0002605406341748613,0.12386809861754866,-0.007060783347689349,12,-0.005386983731709975,-0.40894125993719693,-0.05123899222588384,12,-0.0022832296699013357,-0.7027390589371834,-0.013592358136621201,12,-0.022964191257393633,-1.3515597568256448,-0.08210530979553345,12,-0.002618143912058601,-0.7550682189346811,-0.014687412570002804
volume_z_21:future_21d_return,volume_z_21,volume,21,1,False,24,0.0006776093277586637,0.04124170333181198,-0.0565119055733247,24,0.0004040032280024217,0.13241414001792295,-0.010215986623954799,12,-0.021773615724240875,-0.697857793944701,-0.13037547277239908,12,-0.007075075067064632,-1.3625700821907407,-0.025148723661580195,12,-0.023440592263949983,-1.1731795661988067,-0.09298748346047335,12,-0.001948862945620752,-0.6601565127114827,-0.012224482512411589
intraday_5:future_63d_return,intraday_5,session,63,-1,False,24,0.03400403901060941,1.6830816594672355,-0.0363192135149299,24,0.013046916093224753,2.2043381840621605,-0.007554794241789568,12,0.021232465892397332,0.505326298281188,-0.12501965256335107,12,-0.0055087978763126945,-0.380923332587379,-0.055846442876900666,10,-0.023507057495469004,-0.8111702509264155,-0.12437656156226878,10,-0.008676445873153945,-0.8185109996634364,-0.04557343876923268
dollar_volume_5:future_63d_return,dollar_volume_5,liquidity,63,-1,False,24,0.06883337368230825,2.945556387686626,-0.01250684688825189,24,0.021850143550979566,2.636051654841544,-0.0070017292722518235,12,0.022121103493186214,0.5814787850850832,-0.11029675014157264,12,0.006913590450485778,0.5844872530901211,-0.03425843530427423,10,-0.024527159026899566,-1.258593610293938,-0.09235927351170217,10,-0.001753087656024976,-0.4437046861409494,-0.015505638117371387
sma_dist_42:future_21d_return,sma_dist_42,trend,21,-1,False,24,0.012749272320948602,0.4459699911327048,-0.08675767246065907,24,0.0013368862182005423,0.2364901754989943,-0.01833993653380234,12,0.07516405688886511,2.2228980003085894,-0.04253264910315187,12,0.010177087812437364,1.7044513310423934,-0.010606118451992117,12,-0.024939659215938163,-0.6497559027350982,-0.15854195228118642,12,-0.0049334049166646,-0.9498930497180668,-0.02301120932212928
mom_3:future_63d_return,mom_3,momentum,63,-1,False,24,0.01030275144747316,0.4942657447401312,-0.06225208057317285,24,0.0037795433372449553,0.6502816584397431,-0.016451182081313947,12,-0.03747047326779491,-1.2224545197797256,-0.14416204149420486,12,-0.02614663309327392,-2.0072947707991653,-0.07148629217845687,10,-0.025022695066990296,-0.856705800148102,-0.12668875836826904,10,-0.0009735562722635982,-0.08869080146745284,-0.03918171510727582
reversal_3:future_63d_return,reversal_3,reversal,63,1,False,24,0.01030275144747316,0.4942657447401312,-0.06225208057317285,24,0.0037795433372449553,0.6502816584397431,-0.016451182081313947,12,-0.03747047326779491,-1.2224545197797256,-0.14416204149420486,12,-0.02614663309327392,-2.0072947707991653,-0.07148629217845687,10,-0.025022695066990296,-0.856705800148102,-0.12668875836826904,10,-0.0009735562722635982,-0.08869080146745284,-0.03918171510727582
